state,indicator,legend_name,urban,rural,total,rank
Kerala,107,Women having a mobile phone that they themselves use (%),81.1,81.2,81.2,1
Goa,107,Women having a mobile phone that they themselves use (%),81.5,79.8,80.9,2
Sikkim,107,Women having a mobile phone that they themselves use (%),87.1,74.8,79.8,3
Mizoram,107,Women having a mobile phone that they themselves use (%),88.5,58.2,77.3,4
Chandigarh,107,Women having a mobile phone that they themselves use (%),NA,NA,74.2,5
Himachal Pradesh,107,Women having a mobile phone that they themselves use (%),85.4,72.3,73.9,6
Nagaland,107,Women having a mobile phone that they themselves use (%),82.7,61.6,70.5,7
Lakshadweep,107,Women having a mobile phone that they themselves use (%),68.6,44.3,68,8
Puducherry,107,Women having a mobile phone that they themselves use (%),68,65.7,67.3,9
Andaman & Nicobar Islands,107,Women having a mobile phone that they themselves use (%),78.4,57.9,66.9,10
Delhi,107,Women having a mobile phone that they themselves use (%),66.6,NA,66.6,11
Meghalaya,107,Women having a mobile phone that they themselves use (%),80.2,59.1,64.3,12
Manipur,107,Women having a mobile phone that they themselves use (%),71.6,57.8,63.1,13
Tamil Nadu,107,Women having a mobile phone that they themselves use (%),70.7,53.4,62,14
Daman & Diu,107,Women having a mobile phone that they themselves use (%),66.6,48.6,60.6,15
Arunachal Pradesh,107,Women having a mobile phone that they themselves use (%),82,52.1,59.8,16
Punjab,107,Women having a mobile phone that they themselves use (%),71.9,47.9,57.2,17
Uttarakhand,107,Women having a mobile phone that they themselves use (%),63.5,50.7,55.4,18
Jammu & Kashmir,107,Women having a mobile phone that they themselves use (%),68.6,47.3,54.2,19
Haryana,107,Women having a mobile phone that they themselves use (%),63.9,41.1,50.5,20
Gujarat,107,Women having a mobile phone that they themselves use (%),63.5,35.4,47.9,21
Telangana,107,Women having a mobile phone that they themselves use (%),63.1,33.8,47.8,22
Karnataka,107,Women having a mobile phone that they themselves use (%),62.3,34,47.1,23
Assam,107,Women having a mobile phone that they themselves use (%),71.4,40.7,46,24
Maharashtra,107,Women having a mobile phone that they themselves use (%),60.4,30.9,45.6,25
Tripura,107,Women having a mobile phone that they themselves use (%),67.6,33.7,43.9,26
West Bengal,107,Women having a mobile phone that they themselves use (%),58.8,33.9,41.9,27
Rajasthan,107,Women having a mobile phone that they themselves use (%),61.2,34.4,41.4,28
Bihar,107,Women having a mobile phone that they themselves use (%),50,39.3,40.9,29
Odisha,107,Women having a mobile phone that they themselves use (%),64.7,32.5,39.2,30
Uttar Pradesh,107,Women having a mobile phone that they themselves use (%),48.6,32.8,37.1,31
Dadra & Nagar Haveli,107,Women having a mobile phone that they themselves use (%),57.8,18.1,36.9,32
Andhra Pradesh,107,Women having a mobile phone that they themselves use (%),54.1,27.8,36.2,33
Jharkhand,107,Women having a mobile phone that they themselves use (%),53.4,27.9,35.2,34
Chhattisgarh,107,Women having a mobile phone that they themselves use (%),54.7,22.9,31,35
Madhya Pradesh,107,Women having a mobile phone that they themselves use (%),49.5,19.1,28.7,36
